"","X.1","X","Address","Zip","Rent","Beds","Ba","Area","Bldg","Type","Laundry","Heating","Cooling","Pets","Parking","test"
"118",239,239,7,94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space",0
"119",242,242,23,94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage",0
"120",243,243,13,94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",0
"121",244,244,6,94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA,0
"122",246,246,24,94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street",0
"123",253,253,27,94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA,0
"124",254,254,25,94123,25000,4,3.5,3884,"House","Single Family","In Unit",NA,NA,"No",NA,0
"125",258,258,5,94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA,0
"126",261,261,20,94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space",0
"127",264,264,4,94123,9500,2,2.5,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage",0
"128",265,265,22,94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage",0
"129",266,266,7,94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space",0
"130",270,270,13,94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",0
"131",272,272,26,94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA,0
"132",273,273,24,94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street",0
"133",276,276,19,94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA,0
"134",277,277,21,94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA,0
"135",278,278,1,94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space",0
