Column1,Address,Zip,Monthly_Rent_USD,Bedrooms,Bathrooms,Area_SqFt,Building,Laundry,Heating,Cooling,Pets,Parking
621,208 28th St APT 203,94131,5250,2,2,1000,Apt,In Unit,NA,NA,Yes,Garage
622,2060 Sutter St APT 205,94115,4500,2,2,1215,Apt,NA,Baseboard,NA,No,Both
623,2033 Oak St # B,94117,4900,3,2,1200,Apt,Shared,Forced air,NA,Yes,NA
624,2025 Stockton St APT 5,94133,2495,1,1,NA,Apt,NA,NA,NA,No,NA
625,2025 Pine St APT 10,94115,3095,1,1,700,Apt,NA,NA,NA,Yes,Both
626,2025 Balboa St # 1,94121,2850,2,1,868,Apt,NA,Forced air,NA,Yes,Both
627,2016 California St APT 2,94109,2995,1,1,NA,Apt,NA,NA,NA,Yes,Both
628,2010 Pacific Ave APT 12,94109,8000,3,3,NA,Apt,In Unit,Forced air,NA,Yes,Garage
629,2001 Pierce St APT 64,94115,3100,Studio,1,NA,Apt,NA,NA,NA,Yes,NA
630,200 29th St UNIT 2,94131,4995,2,2.5,1294,Apt,In Unit,NA,NA,Yes,Available
631,20 Natick St # 1A,94131,5185,3,2,1392,Apt,In Unit,NA,NA,Yes,Both
632,2 Mint Plz STE 407,94103,3400,1,1,658,Apt,NA,Forced air,Central,No,Both
633,2 Crestline Dr APT 4,94131,2495,1,1,NA,Apt,NA,NA,Central,Yes,Both
634,19th Ave,94121,3695,2,1,NA,Apt,Shared,Radiant,None,Yes,Garage
635,1998 Broadway APT 701,94109,4950,2,2,1030,Apt,Shared,NA,NA,Yes,Garage
636,1980 Washington St,94109,4600,1,1,900,Apt,Shared,NA,NA,Yes,Garage
637,1966 Pacific Ave,94109,6200,2,2,1115,Apt,In Unit,NA,NA,Yes,Both
638,1951 48th Ave,94116,2900,2,1,2200,Apt,NA,NA,NA,Yes,Garage
639,195 Collingwood St,94114,3250,1,1,NA,Apt,NA,Forced air,NA,Yes,NA
640,191 Frederick St APT 14,94117,2250,Studio,1,NA,Apt,Shared,NA,NA,Yes,NA
641,1887 Hayes St,94117,2695,1,1,NA,Apt,NA,NA,NA,Yes,NA
642,188 15th Ave,94118,5195,2,2,1600,Apt,NA,NA,NA,Yes,NA
643,1870 Washington St,94109,2250,Studio,1,300,Apt,NA,NA,NA,No,NA
644,1865 Bush St APT 104,94109,3600,2,1.5,NA,Apt,NA,NA,NA,Yes,NA
645,1862 23rd Ave,94122,4500,2,2,2278,Apt,Shared,Forced air,Other,Yes,Both
646,1849 Clay St APT 5,94109,4200,2,1,NA,Apt,NA,NA,NA,No,NA
647,1845 Gough St,94109,3450,2,1,NA,Apt,Shared,Forced air,NA,Yes,NA
648,1834 Eddy St,94115,2500,1,1,1396,Apt,NA,NA,NA,No,NA
649,183 Castro St,94114,2995,1,1,NA,Apt,NA,NA,NA,Yes,NA
650,1816 Filbert St,94123,2350,1,1,NA,Apt,Shared,NA,NA,Yes,Both
651,1815 Powell St APT 11,94133,1900,Studio,1,NA,Apt,NA,NA,NA,Yes,NA
652,1769 Lombard St # A,94123,2800,1,1,775,Apt,NA,Forced air,NA,Yes,NA
653,1740 Filbert St # 1ST,94123,3499,2,1,700,Apt,NA,Forced air,NA,Yes,Garage
654,1740 Beach St APT 16,94123,2600,1,1,NA,Apt,NA,NA,NA,Yes,Available
655,1737 Scott St,94115,3995,2,2,NA,Apt,In Unit,Forced air,NA,Yes,NA
656,1735 Dolores St # A,94110,3000,1,1,300,Apt,Shared,NA,NA,Yes,NA
657,1728 Bryant St # COMMERCIAL,94110,3900,1,1,NA,Apt,NA,NA,NA,Yes,NA
658,1700 Beach St APT 304,94123,3000,1,1,NA,Apt,NA,NA,NA,Yes,Available
659,16th Ave,94118,2100,1,1,NA,Apt,Shared,Radiant,None,Yes,Both
660,1695 10th Ave APT 2,94122,2350,1,1,NA,Apt,Shared,NA,Central,Yes,Both
661,1690 Golden Gate Ave APT 03,94115,2975,1,1,NA,Apt,NA,NA,NA,Yes,NA
662,1681 Union St,94123,4500,2,1,1235,Apt,Shared,Forced air,NA,Yes,Garage
663,168 Hyde St APT 407,94102,1700,Studio,1,225,Apt,Shared,Forced air,NA,Yes,Both
664,1678 Dolores St,94110,4300,2,1,3100,Apt,In Unit,Forced air,NA,Yes,Garage
665,166 Middlefield Dr # 166,94132,5000,4,3,NA,Apt,NA,NA,NA,No,NA
666,1645 Golden Gate Ave APT 2,94115,3395,1,1,775,Apt,Shared,NA,NA,Yes,NA
667,1640 Vallejo St APT 2,94123,2845,1,1,NA,Apt,NA,NA,NA,Yes,NA
668,1640 Golden Gate Ave # 10,94115,1750,Studio,1,NA,Apt,NA,NA,NA,Yes,NA
669,1635 Gough St APT 501,94109,2895,1,1,775,Apt,NA,NA,NA,No,Garage
670,1633 California St APT 114,94109,2600,1,1,NA,Apt,NA,NA,NA,Yes,NA
671,1619 Fulton St,94117,5800,3,1.5,1640,Apt,In Unit,NA,NA,No,NA
672,1611 Vallejo St APT 402,94123,4000,2,1,NA,Apt,NA,NA,NA,Yes,NA
673,1608 Cayuga Ave,94112,3195,2,1,1198,Apt,NA,NA,NA,Yes,Both
674,15th StIncomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property,94114,5850,3,1.5,1800,Apt,In Unit,Forced air,None,Yes,Garage
675,1588 Stillwell Rd APT F,94129,3775,3,1,840,Apt,In Unit,Forced air,NA,Yes,Both
676,1580 Lombard St APT 1,94123,3950,2,1,725,Apt,NA,NA,NA,Yes,Garage
677,1580 Beach St APT 104,94123,3995,1,1,1000,Apt,NA,NA,NA,Yes,Garage
678,1573 48th Ave APT 6,94122,2750,2,1,840,Apt,Shared,NA,NA,Yes,Garage
679,1531 Francisco St,94123,2495,Studio,1,600,Apt,NA,NA,NA,Yes,Both
680,1530 Pershing Dr APT A,94129,3385,2,1,835,Apt,In Unit,NA,NA,Yes,Both
681,1530 Irving St APT 1,94122,2395,1,1,NA,Apt,Shared,NA,NA,Yes,NA
682,1530 Gough St APT 405,94109,2400,Studio,1,600,Apt,NA,NA,NA,No,NA
683,1530 Dolores St APT 2,94110,4950,3,1,NA,Apt,In Unit,Forced air,NA,Yes,NA
684,1522 46th Ave # STUDIO,94122,2000,Studio,1,350,Apt,Shared,NA,NA,No,NA
685,1512 Great Hwy # 1,94122,2350,1,1,600,Apt,Shared,Forced air,NA,Yes,NA
686,1499 Union St APT 05,94109,2975,1,1,NA,Apt,NA,NA,NA,Yes,NA
687,1493 Francisco St,94123,4000,2,1,NA,Apt,NA,NA,NA,Yes,Garage
688,149 Dore St,94103,3995,2,2,NA,Apt,NA,NA,NA,Yes,NA
689,146 Connecticut St APT 2,94107,6000,3,2,1516,Apt,NA,NA,NA,Yes,NA
690,145 Bella Vista Way # A,94127,5995,3,2,1700,Apt,In Unit,NA,NA,Yes,Garage
691,1446 Washington St,94109,3150,1,1,NA,Apt,Shared,NA,NA,Yes,NA
692,1446 Jackson St APT 6,94109,3995,2,1,1250,Apt,NA,NA,NA,Yes,NA
693,1446 18th Ave,94122,4600,3,1,1500,Apt,Shared,Forced air,NA,Yes,Both
694,1443 17th Ave,94122,3888,2,2,1400,Apt,In Unit,Forced air,NA,Yes,Both
695,1441 Clay St,94109,3550,2,1,NA,Apt,NA,NA,NA,Yes,NA
696,1440 Clement St,94118,3995,3,2,825,Apt,NA,Forced air,NA,Yes,Both
697,1437 17th Avenue # FL 1ST,94122,4000,2,2,NA,Apt,NA,Forced air,NA,Yes,Both
698,1435 Fulton St APT A,94117,2895,1,1,NA,Apt,NA,NA,NA,Yes,NA
699,1434 Washington St,94109,4850,2,1,1396,Apt,In Unit,Forced air,NA,No,Garage
700,1433 Clay St APT 15,94109,5995,3,2,NA,Apt,In Unit,NA,NA,Yes,NA
701,1429 Leavenworth St APT 304,94109,2195,Studio,1,NA,Apt,NA,NA,NA,Yes,NA
702,1420 Jones St,94109,3000,1,1,NA,Apt,NA,NA,NA,Yes,Both
703,1415 5th Ave APT 2,94122,2600,1,1,NA,Apt,NA,NA,NA,Yes,NA
704,1405 Van Ness Ave,94109,3595,2,1,NA,Apt,Shared,Forced air,NA,Yes,Both
705,1403 Jackson St,94109,2850,1,1,490,Apt,NA,NA,NA,Yes,Garage
706,1401 41st Ave,94122,3300,3,1,2279,Apt,Shared,NA,NA,Yes,Both
707,140 Jersey St,94114,5195,3,1,1200,Apt,In Unit,NA,NA,Yes,Garage
708,139 Porter St,94110,2950,2,2,NA,Apt,In Unit,NA,NA,Yes,Garage
709,1386 Mcallister St # 5,94115,3999,2,1,NA,Apt,NA,Forced air,NA,Yes,Both
710,1375 Green St APT 10,94109,2900,Studio,1,500,Apt,NA,Forced air,NA,No,Both
711,1351 Divisadero St APT 1,94115,3300,2,1,900,Apt,Shared,NA,NA,Yes,NA
712,135 Evelyn Way # DETACH,94127,5880,5,3,1650,Apt,In Unit,Forced air,NA,Yes,Both
713,135 Corwin St,94114,2795,1,1,NA,Apt,NA,NA,NA,No,NA
714,135 8th St APT 5,94103,2995,2,1,NA,Apt,NA,NA,NA,No,NA
715,1335 Bay St APT 3,94123,3600,1,1,567,Apt,Shared,Forced air,Other,Yes,Garage
716,1333 Hayes St,94117,10895,5,2,1700,Apt,NA,NA,NA,Yes,Both
717,1330 Pine St APT 8,94109,2100,Studio,1,NA,Apt,NA,Forced air,NA,Yes,NA
718,1328 Larkin St # TOP,94109,12000,6,3,1635,Apt,In Unit,Forced air,Central,No,Both
719,1315 Cole St,94117,6290,3,1,1900,Apt,NA,NA,NA,Yes,NA
720,131 Hartford St # B,94114,4000,2,1,900,Apt,In Unit,NA,NA,Yes,Garage
721,1293 6th Ave,94122,2700,Studio,1,NA,Apt,NA,Forced air,NA,Yes,Both
722,1289 22nd Ave APT 103,94122,2650,2,1,NA,Apt,NA,Forced air,NA,Yes,Both
723,1280 Minnesota St APT 103,94107,4650,2,2,1125,Apt,NA,NA,NA,Yes,NA
724,1278 Jackson St,94109,3950,1,1,800,Apt,NA,NA,NA,Yes,Both
725,1257 Bush St,94109,7000,Studio,1,NA,Apt,Shared,NA,NA,No,NA
726,1255 Taylor St APT 1,94108,3500,1,1,750,Apt,NA,Forced air,Central,Yes,Both
727,125 Gilbert St APT 8,94103,5000,2,2.5,1540,Apt,In Unit,Forced air,NA,No,Garage
728,124 Locksley Ave APT 1,94122,2795,1,1,800,Apt,Shared,NA,NA,No,Both
729,1233 California St APT 306,94109,2400,Studio,1,NA,Apt,Shared,NA,NA,Yes,NA
730,123 Guerrero St APT 3,94103,2995,1,1,NA,Apt,NA,NA,NA,No,NA
731,1225 Bay St,94123,3995,2,1,NA,Apt,Shared,NA,NA,Yes,Garage
732,1220 14th Ave,94122,2550,1,1,NA,Apt,Shared,Forced air,NA,Yes,Both
733,120 Parker Ave APT 301,94118,4000,2,2,1000,Apt,Shared,Forced air,Central,Yes,NA
734,1190 Haight Street 10 Lyon # 208,94117,2995,Studio,1,NA,Apt,NA,NA,NA,No,NA
735,1184 Alabama St,94110,3600,3,1,900,Apt,NA,Forced air,NA,Yes,NA
736,1177 California St APT 814,94108,5500,2,2.5,1399,Apt,NA,NA,NA,No,NA
737,1170 Sacramento St APT 16A,94108,14000,2,2,2070,Apt,NA,NA,NA,Yes,NA
738,1161 Stanyan St APT 1B,94117,2240,1,1,700,Apt,Shared,Forced air,NA,Yes,Both
739,1160 Mission St UNIT 1212,94103,3400,1,1,660,Apt,NA,NA,NA,No,Available
740,1153 Fell St,94117,4500,3,1,2788,Apt,Shared,Forced air,NA,Yes,NA
741,113 Laidley St # A,94131,2750,1,1,700,Apt,NA,NA,NA,Yes,NA
742,1124 Greenwich St,94109,3750,1,1,1800,Apt,NA,NA,NA,No,Garage
743,1123 Green St,94109,17900,6,4,3451,Apt,In Unit,Forced air,Central,No,Both
744,1122 Sutter St APT 12,94109,1800,Studio,1,NA,Apt,NA,Forced air,NA,Yes,NA
745,1117 Ocean Ave,94112,5695,Studio,NA,19486,Apt,"In Unit, Shared",Forced air,Central,Yes,Both
746,1115 Polk St APT 31,94109,2495,1,1,500,Apt,NA,NA,NA,No,Both
747,1114 Sutter St APT 503,94109,1695,Studio,1,350,Apt,Shared,Forced air,NA,Yes,NA
748,1114 Broadway # 2,94109,2700,1,1,NA,Apt,NA,NA,NA,Yes,NA
749,1108 Lake St,94118,2975,2,1,NA,Apt,NA,NA,Central,Yes,Both
750,1101 999 Pine St # 1101,94108,3595,1,1,650,Apt,In Unit,NA,NA,No,Garage
751,1100-1104 Fell Street 1100 Fell Street 501-505 S,94117,5795,3,2,NA,Apt,NA,NA,NA,Yes,NA
752,110 Gardenside Drive # Top Floor,94131,2995,1,1,NA,Apt,Shared,NA,NA,Yes,Garage
753,1096 Pine St APT 106,94109,1895,Studio,1,380,Apt,Shared,NA,NA,Yes,NA
754,1091 Bush St,94109,1800,Studio,1,NA,Apt,NA,NA,NA,Yes,NA
755,1078 Potrero Ave,94110,4395,3,2,NA,Apt,NA,NA,NA,Yes,NA
756,1069 Francisco St,94109,6200,3,2,1708,Apt,In Unit,Forced air,NA,Yes,Both
757,1065 Bush St # 211,94109,2995,1,1,NA,Apt,Shared,NA,NA,Yes,NA
758,1053 Bush St APT B,94109,1895,Studio,1,NA,Apt,Shared,NA,NA,Yes,Both
759,1049A Page St,94117,3500,2,1,NA,Apt,NA,NA,NA,Yes,NA
760,1023 Church St APT 4,94114,3900,2,1,722,Apt,NA,NA,NA,Yes,NA
761,101 Leland Ave,94134,3650,3,2,800,Apt,NA,NA,NA,Yes,NA
762,101 Leland Ave # 99101,94134,3500,3,2,1100,Apt,Shared,NA,NA,Yes,NA
763,101 Crescent Way APT 2315,94134,3599,2,2,1337,Apt,NA,NA,NA,No,NA
764,1000 Union St APT 106,94133,3200,1,1,NA,Apt,Shared,NA,NA,Yes,NA
765,1000 Powell St APT 43,94108,2795,1,1,NA,Apt,NA,NA,NA,Yes,NA
766,1000 Judah St APT 303,94122,2725,1,1,750,Apt,Shared,NA,NA,Yes,NA
767,1000 Howard St APT 408,94103,1699,1,1,420,Apt,NA,NA,NA,No,NA
768,1 Hawthorne Street 23c # 23C,94105,5850,2,2,NA,Apt,NA,NA,NA,No,NA
769,1 Hawthorne St UNIT 3F,94105,3500,1,1,498,Apt,NA,NA,NA,No,Garage
770,1 Daniel Burnham Ct,94109,3500,1,1,600,Apt,Shared,Forced air,NA,Yes,Both
771,1 Bluxome St,94107,4800,2,1.5,1361,Apt,In Unit,Forced air,Other,No,Garage
772,NA,94123,3095,1,1,600,Apt,Shared,NA,None,Yes,Garage
773,NA,94133,4900,1,1,1035,Apt,Shared,Radiant,None,Yes,Garage
